load_factor,n_faults,fault_fraction,baseline,metric,mean,ci_95,min,max,n
0.7,2,0.0625,adaptive,p99_latency,0.027604709564970277,6.223360328357658e-05,0.02747311806795155,0.02774019903126363,10
0.7,2,0.0625,adaptive,p999_latency,0.031661447913182254,0.00039229577629471744,0.031087384098881912,0.03264768735773687,10
0.7,2,0.0625,adaptive,p95_latency,0.022425847251671217,0.00011548949482488942,0.02214051640399965,0.022607622347024035,10
0.7,2,0.0625,adaptive,p50_latency,0.011779528686005935,6.021131162310239e-05,0.01167131968592372,0.011927250845090498,10
0.7,2,0.0625,adaptive,avg_latency,0.01383284077377862,2.727931019286347e-05,0.013775542104325151,0.013889986835105013,10
0.7,2,0.0625,adaptive,max_latency,0.17567820407623042,0.01081587743020144,0.1491374361778881,0.1955974951786068,10
0.7,2,0.0625,adaptive,tail_ratio,2.3435245795067887,0.009442564115613328,2.315733485275181,2.358963006807903,10
0.7,2,0.0625,adaptive,throughput,2240.610909090909,4.398057987045019,2233.7818181818184,2254.9636363636364,10
0.7,2,0.0625,adaptive,goodput,2239.869090909091,4.391379766832539,2233.090909090909,2254.2181818181816,10
0.7,2,0.0625,adaptive,slo_violation_rate,0.0003310703588801622,1.1402417127372723e-05,0.0003093001676732488,0.00035748234930900284,10
0.7,2,0.0625,adaptive,affected_ratio,0.00035705181272101494,6.284420828861441e-06,0.00034670988445691526,0.00037292560134253216,10
0.7,2,0.0625,no_mitigation,p99_latency,0.10611617192160867,0.0013417530755786922,0.1029768765970236,0.10919009002814868,10
0.7,2,0.0625,no_mitigation,p999_latency,0.1502361071998477,0.0009346353059521805,0.14933742285450474,0.1535165493489139,10
0.7,2,0.0625,no_mitigation,p95_latency,0.0247544959704965,9.055174003914613e-05,0.02456681211946261,0.024986818146251717,10
0.7,2,0.0625,no_mitigation,p50_latency,0.01195382287106277,7.954063728998367e-05,0.01169439062709543,0.012113169322223172,10
0.7,2,0.0625,no_mitigation,avg_latency,0.01562283002084765,3.4430693054300385e-05,0.015519383173046812,0.015695803992671006,10
