baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
no_mitigation,6,48,25.40947413444519,242347,0.016334210963726583,0.014630167966600993,0.0265949597250298,0.03181514104810013,0.2814262198250414,0.39754294092681164,2.174625822528523,2551.021052631579,2540.463157894737,0.004138693691277383,0,0.04036361085550884
no_mitigation,1,43,25.58128833770752,242933,0.016482428879195536,0.014758907689781608,0.026925328066926466,0.03276647085134695,0.28714653807169305,0.4506681533284791,2.2201148987491095,2557.1894736842105,2546.6315789473683,0.004128710385167927,0,0.04013863904862658
fixed_speculation,1,43,25.547844648361206,243118,0.015537549303756186,0.014794437259547877,0.026465531600294412,0.029760669413022845,0.03742350125254798,0.36505873587386084,2.011612127647249,2559.136842105263,2558.621052631579,0.00020154821938318018,6,0.032543867586933097
fixed_speculation,2,44,25.650919914245605,243046,0.015481636883581913,0.014785535480767109,0.026276187928930383,0.029597436487808437,0.03696212047285556,0.3100729309917085,2.0017831972544053,2558.378947368421,2557.978947368421,0.0001563490038922673,6,0.032775688552784246
fixed_speculation,8,50,25.697145462036133,243631,0.016304646464171253,0.015790487542318488,0.027556014554356523,0.031562752079688804,0.03839722440643619,0.3824031352221038,1.9988459504559732,2564.536842105263,2564.2526315789473,0.00011082333528984407,212,0.018183236123481824
no_mitigation,7,49,25.816198348999023,243805,0.016487864294504027,0.014799932378309677,0.02680978929933175,0.03219958097144171,0.2879102760948349,0.3965593573892505,2.17565730358555,2566.3684210526317,2555.7894736842104,0.00412214679764566,0,0.04043805500297369
no_mitigation,0,42,26.101768732070923,243215,0.01646289189512068,0.014726847886095129,0.026889259253690057,0.032896980208541864,0.2869658839507307,0.4159400252526311,2.2338100089702633,2560.157894736842,2549.5684210526315,0.004136258043295027,0,0.04033057171638262
no_mitigation,8,50,27.08959150314331,243581,0.016527896331884506,0.014849020470897756,0.02690400069324994,0.03237138343503791,0.28813988001269364,0.3985857350365478,2.1800349389026583,2564.0105263157893,2553.442105263158,0.0041218321626071,0,0.04036850164832233
no_mitigation,4,46,27.207892894744873,243319,0.016508493740635125,0.014819381110072527,0.02695161494958711,0.03278769648717378,0.2852423540916156,0.4233977728834404,2.212487569058362,2561.2526315789473,2550.6526315789474,0.004138599944928263,0,0.03976672598522927
fixed_speculation,0,42,27.61087727546692,243304,0.01563815238897385,0.014922344972564616,0.026609600863362098,0.029873024201249584,0.03770868067182995,0.35318266209579185,2.0018987803976147,2561.0947368421052,2560.6105263157897,0.00018906388715351987,10,0.024886561667707887
fixed_speculation,7,49,29.472204208374023,243792,0.015552551704413447,0.0148514979033596,0.026378674014051025,0.029736253647972076,0.03749785116075353,0.34360175398968273,2.0022393593878065,2566.2315789473682,2565.8105263157895,0.00016407429283979785,4,0.03278614556671261
fixed_speculation,4,46,29.972050428390503,243097,0.015634504029802127,0.014896270053050387,0.026518722087291374,0.029821106257785175,0.03787971326204829,0.35792384647270126,2.0019176714427616,2558.915789473684,2558.2,0.000279723731679124,0,0.02480079968078586
fixed_speculation,5,47,30.450090408325195,243564,0.015716768995794883,0.015029816943227914,0.026790084354044195,0.03018303282680768,0.037945536442258995,0.3193827275543768,2.0082102756685574,2563.8315789473686,2563.4105263157894,0.0001642278826099095,3,0.03291537337209111
fixed_speculation,3,45,31.1538245677948,243341,0.0156280349532496,0.01495318425855885,0.026523141152214436,0.029725559386282897,0.03723499439091364,0.3793658050412425,1.9879083192109193,2561.4842105263156,2561.0526315789475,0.00016848784216387703,2,0.025006061452858334
no_mitigation,3,45,31.70778512954712,243399,0.016446605580493934,0.014747110539403252,0.02678692240475779,0.03220146671387179,0.287618031751218,0.3896694335600728,2.1835780390898756,2562.0947368421052,2551.5263157894738,0.004124914235473441,0,0.04019737139429497
fixed_speculation,6,48,33.12167000770569,242600,0.015519881579735635,0.014804882812157416,0.026293013694245814,0.029643566614578214,0.037347078474075805,0.3655215407625185,2.0022830974545522,2553.684210526316,2552.978947368421,0.00027617477328936523,2,0.026137675185490518
no_mitigation,5,47,33.84046173095703,243666,0.01647803486206628,0.014806323846173086,0.026831266423067657,0.032463725366461575,0.2847798561226344,0.375398399403128,2.1925581058293755,2564.9052631578948,2554.3368421052633,0.0041203943102443505,0,0.040534994623788304
no_mitigation,9,51,34.61341190338135,243173,0.01639279906534878,0.014706635108822752,0.02662076786613241,0.03187203083610683,0.2849144940572464,0.399004269992993,2.1671871641791314,2559.7157894736843,2549.1473684210528,0.004128747846183581,0,0.04068297056005395
no_mitigation,2,44,34.71558618545532,242777,0.01639701383030759,0.01471425606391108,0.0266990645889507,0.03192845791765534,0.2836810633704672,0.38583088060218884,2.169899570795473,2555.547368421053,2544.978947368421,0.004135482356236382,0,0.040477475213879406
fixed_shedding,1,43,26.29452109336853,243377,0.015717300194607698,0.015076135153236692,0.026734386581620122,0.02987476934705256,0.03747753676218762,0.36505873587386084,1.9815933621846546,2561.863157894737,2561.442105263158,0.0001643540679686248,110,0.02220423458256121
fixed_shedding,3,45,26.117777824401855,242919,0.015681814511500688,0.015035213539690062,0.02659064756393973,0.029774496248180925,0.03742305516384808,0.3793658050412425,1.980317483990633,2557.0421052631577,2556.3684210526317,0.0002634623063654963,380,0.02301178582161132
fixed_shedding,5,47,26.261727333068848,243559,0.015798994146663078,0.01512928118212642,0.026926854099887966,0.03052122628300026,0.03798888252982494,0.3193827275543768,2.0173612953309195,2563.778947368421,2563.3684210526317,0.000160125472678078,2,0.025176651242614725
fixed_shedding,2,44,27.90454411506653,243082,0.015570671507565212,0.014897354542220853,0.02642898585520292,0.029635801463553834,0.03700274482504365,0.31003288595411327,1.9893331651309292,2558.757894736842,2558.221052631579,0.0002098057445635629,269,0.027554487786014596
fixed_shedding,7,49,26.499751567840576,244020,0.015675860937891757,0.01503061476055123,0.02658027403029024,0.029828228804791763,0.03767016090217592,0.34360175398968273,1.984498257721153,2568.6315789473683,2568.221052631579,0.0001598229653307106,4,0.024903696418326366
fixed_shedding,0,42,28.99884605407715,243420,0.015618584301278358,0.014900350869227807,0.026562689440653743,0.02985864793779804,0.03772999452122199,0.35318266209579185,2.003888915090053,2562.315789473684,2561.8,0.00020129816777586065,91,0.028177635362747516
fixed_shedding,6,48,27.84908962249756,242594,0.015488266386925839,0.014804190369282821,0.026251418505156464,0.029578499022740345,0.03700400092288428,0.31149965132162194,1.9979815366406461,2553.621052631579,2553.084210526316,0.00021022778799145898,118,0.027337856665869725
fixed_shedding,9,51,26.32899022102356,242983,0.015568853192300183,0.014884135499997342,0.026370968524053493,0.029651809782340943,0.036982772173362294,0.3286250795097434,1.9921754798823377,2557.7157894736843,2557.084210526316,0.00024693085524501714,184,0.02598535700028397
fixed_isolation,1,43,28.012120485305786,242773,0.01556534096026361,0.01485867641637384,0.026514803117557405,0.029793909344814438,0.0373096522136829,0.36505873587386084,2.0051523103351516,2555.5052631578947,2555.178947368421,0.00012769130010338876,0,0.024582634807000778
fixed_isolation,3,45,29.38614058494568,243350,0.015615633062963217,0.014950191335190155,0.02650894449601804,0.029715464401955608,0.03715845358964655,0.3793658050412425,1.9876310433573223,2561.5789473684213,2561.2526315789473,0.00012738853503184712,0,0.024968152866242037
fixed_isolation,6,48,26.62561869621277,242454,0.01547263325974008,0.014789237528503918,0.026262143544301276,0.02959875330487542,0.0369452095860223,0.29977767884309436,2.0013711489742794,2552.1473684210528,2551.8526315789472,0.00011548582411508987,0,0.024932564527704225
fixed_speculation,9,51,37.02733755111694,243223,0.015710530305834792,0.015071431677981195,0.026695903288212003,0.029856942488818063,0.037498362507962,0.3286250795097434,1.981028951114044,2560.242105263158,2559.821052631579,0.0001644581310155701,2,0.025359443802600905
fixed_shedding,4,46,38.25245809555054,242976,0.01572160326709626,0.014957546012414724,0.02660652863160884,0.02995390384447738,0.03945417094136916,0.3522579320366219,2.002594798613069,2557.642105263158,2555.5684210526315,0.0008107796654813644,106,0.024031180034242067
fixed_shedding,8,50,36.61100673675537,243733,0.015926234889381333,0.015302095053272069,0.027110111509242075,0.030652903626508122,0.03804256279052122,0.3824031352221038,2.00318345427828,2565.6105263157897,2565.3263157894735,0.00011077695675185551,203,0.03251919108204469
fixed_isolation,7,49,29.567344188690186,243815,0.01555054794497354,0.014857685725630176,0.02639176201088915,0.029744672579559504,0.03749641462948829,0.34360175398968273,2.0019721192681175,2566.4736842105262,2566.1473684210528,0.00012714558169103624,0,0.03275024096138466
fixed_isolation,5,47,31.372900009155273,243547,0.015615716123065716,0.014934445339520153,0.026554933961039494,0.02983076897240892,0.03726341106143202,0.3193827275543768,1.9974473972240199,2563.6526315789474,2563.3368421052633,0.00012317950949919317,0,0.025136831905135354
fixed_isolation,2,44,34.08848476409912,243284,0.015579692836010907,0.014921882205523929,0.02645624727390369,0.02966288267471803,0.03694785029814979,0.31003288595411327,1.9878780884449774,2560.8842105263157,2560.5684210526315,0.00012331267161013465,0,0.024921490932408214
fixed_isolation,0,42,36.95227384567261,243218,0.015537223414360557,0.014796445973356498,0.02646199820261792,0.029770491982774948,0.03743430830132685,0.35318266209579185,2.0120028847725835,2560.1894736842105,2559.8736842105263,0.00012334613392100914,0,0.03267027933787795
fixed_isolation,4,46,35.22325372695923,243018,0.01553448020022623,0.014815106792887889,0.026417662141116956,0.029800957938895565,0.03744523270255132,0.3522579320366219,2.011525016694564,2558.084210526316,2557.7473684210527,0.0001316774889102865,0,0.02865219860257265
fixed_isolation,8,50,26.42808175086975,243513,0.016094747154997823,0.015540459969955123,0.027290656639500806,0.031038438561029988,0.03814754749024838,0.3824031352221038,1.9972664014474226,2563.294736842105,2563.0105263157893,0.00011087703736556159,0,0.03151371795345628
fixed_isolation,9,51,26.41745901107788,243199,0.015453478246320216,0.014744356370830047,0.026202475703786376,0.029562419167439912,0.03672518607516491,0.3286250795097434,2.0049989585117216,2559.9894736842107,2559.6631578947367,0.00012746762938992348,0,0.03303056344804049
adaptive,2,44,27.180493116378784,243284,0.015579692836010907,0.014921882205523929,0.02645624727390369,0.02966288267471803,0.03694785029814979,0.31003288595411327,1.9878780884449774,2560.8842105263157,2560.5684210526315,0.00012331267161013465,0,0.024921490932408214
adaptive,0,42,30.430980920791626,243218,0.015537223414360557,0.014796445973356498,0.02646199820261792,0.029770491982774948,0.03743430830132685,0.35318266209579185,2.0120028847725835,2560.1894736842105,2559.8736842105263,0.00012334613392100914,0,0.03267027933787795
adaptive,5,47,27.195393085479736,243547,0.015615716123065716,0.014934445339520153,0.026554933961039494,0.02983076897240892,0.03726341106143202,0.3193827275543768,1.9974473972240199,2563.6526315789474,2563.3368421052633,0.00012317950949919317,0,0.025136831905135354
adaptive,1,43,30.33614683151245,242773,0.01556534096026361,0.01485867641637384,0.026514803117557405,0.029793909344814438,0.0373096522136829,0.36505873587386084,2.0051523103351516,2555.5052631578947,2555.178947368421,0.00012769130010338876,0,0.024582634807000778
adaptive,3,45,29.69257950782776,243350,0.015615633062963217,0.014950191335190155,0.02650894449601804,0.029715464401955608,0.03715845358964655,0.3793658050412425,1.9876310433573223,2561.5789473684213,2561.2526315789473,0.00012738853503184712,0,0.024968152866242037
adaptive,6,48,28.201128482818604,242454,0.01547263325974008,0.014789237528503918,0.026262143544301276,0.02959875330487542,0.0369452095860223,0.29977767884309436,2.0013711489742794,2552.1473684210528,2551.8526315789472,0.00011548582411508987,0,0.024932564527704225
adaptive,7,49,26.152491569519043,243815,0.01555054794497354,0.014857685725630176,0.02639176201088915,0.029744672579559504,0.03749641462948829,0.34360175398968273,2.0019721192681175,2566.4736842105262,2566.1473684210528,0.00012714558169103624,0,0.03275024096138466
adaptive,8,50,26.552361726760864,243760,0.01592556577789184,0.015293609131603603,0.02712746548531512,0.03076855368854112,0.03810644327415942,0.3824031352221038,2.011856941273541,2565.8947368421054,2565.6105263157897,0.00011076468657696095,127,0.03254020347883164
adaptive,4,46,34.176106214523315,243018,0.01553448020022623,0.014815106792887889,0.026417662141116956,0.029800957938895565,0.03744523270255132,0.3522579320366219,2.011525016694564,2558.084210526316,2557.7473684210527,0.0001316774889102865,0,0.02865219860257265
