experiment,load_factor,baseline,p99_mean,p99_std,p999_mean,slo_viol,p99_ms
E1_many_moderate,0.7,adaptive,0.04311031886525919,0.002205220777227672,0.06384948768080595,0.005560067458142333,43.110318865259195
E1_many_moderate,0.7,fixed_isolation,0.04311031886525919,0.002205220777227672,0.06384948768080595,0.005560067458142333,43.110318865259195
E1_many_moderate,0.7,lit_blacklist,0.041088041678504314,0.0019087456274936598,0.05006383015415857,0.0009616065944796201,41.08804167850431
E1_many_moderate,0.7,no_mitigation,0.05765299723265761,0.0003413355378056725,0.07198098791123253,0.03166480203411015,57.65299723265761
E1_many_moderate,0.75,adaptive,0.0561703242626053,0.0007771582951728143,0.07654709388565663,0.017531357994168374,56.1703242626053
E1_many_moderate,0.75,fixed_isolation,0.056147830921159624,0.0007775175136432893,0.07644444880707499,0.017537980089413135,56.147830921159624
E1_many_moderate,0.75,lit_blacklist,0.2095126837083871,0.10000379656942744,0.22180608847169087,0.6786908004987715,209.5126837083871
E1_many_moderate,0.75,no_mitigation,0.06433432044267061,0.0011883707319179356,0.07802522913857407,0.054301099616340734,64.3343204426706
E1_many_moderate,0.8,adaptive,0.09572352069710025,0.016641706041079143,0.12885381162206208,0.14345556875173432,95.72352069710024
E1_many_moderate,0.8,fixed_isolation,0.08174220281347949,0.007806431115876588,0.13212237263890586,0.10679495274775104,81.7422028134795
E1_many_moderate,0.8,lit_blacklist,3.0877972454683222,0.19606352988005651,3.12282745242685,0.9797486263004241,3087.797245468322
E1_many_moderate,0.8,no_mitigation,0.07632845723074215,0.0009151107301067447,0.09262469047134694,0.09005125995565624,76.32845723074215
E1_many_moderate,0.85,adaptive,0.19311770552104054,0.039600597796295316,0.25087915539341415,0.4014051776657852,193.11770552104053
E1_many_moderate,0.85,fixed_isolation,0.21437674339229215,0.009072153356396656,0.2786752343432709,0.5769832592796746,214.37674339229216
E1_many_moderate,0.85,lit_blacklist,5.790191872162381,0.18921116611198716,5.8434654180516885,0.9858039067419915,5790.191872162381
E1_many_moderate,0.85,no_mitigation,0.10636949178248453,0.007165636138006161,0.1340134629383559,0.15859942321788267,106.36949178248453
E2_mixed_severity,0.75,adaptive,0.03783312848988975,0.0006813554686145151,0.0561735680499685,0.0012738797933872204,37.833128489889745
E2_mixed_severity,0.75,fixed_isolation,0.03808020544902942,0.0005464150325651676,0.05470081604120908,0.00122398517760567,38.080205449029414
E2_mixed_severity,0.75,lit_blacklist,0.03873862999618723,0.0004631521382580754,0.04870708120291704,0.0008154258100416537,38.73862999618723
E2_mixed_severity,0.75,no_mitigation,0.18390110616342753,0.004647880676129256,0.3215332303304348,0.03792911175044878,183.90110616342753
E2_mixed_severity,0.8,adaptive,0.12041125342112813,0.018047461534737103,0.339200497111963,0.037570605601342774,120.41125342112812
E2_mixed_severity,0.8,fixed_isolation,0.10903117263185927,0.026776599788607146,0.32748487424569367,0.029063660850607582,109.03117263185926
E2_mixed_severity,0.8,lit_blacklist,0.06771280642649577,0.009326492199899528,0.07857384776879399,0.10436735011031095,67.71280642649577
E2_mixed_severity,0.8,no_mitigation,0.14626056212382296,0.0021119964512557473,0.3751573031802647,0.04180087178426526,146.26056212382295
E2_mixed_severity,0.85,adaptive,0.17558905616766793,0.008332870528387522,0.46706837422091524,0.07100807295332946,175.58905616766793
E2_mixed_severity,0.85,fixed_isolation,0.17558905616766793,0.008332870528387515,0.46706837422091524,0.07100807295332946,175.58905616766793
E2_mixed_severity,0.85,lit_blacklist,0.7669119328603204,0.5854830520184209,0.9941043062980064,0.7803565626680582,766.9119328603205
E2_mixed_severity,0.85,no_mitigation,0.17563532931506248,0.008458675489783801,0.46740901279103875,0.07106223906718842,175.63532931506248
E3_progressive,0.75,adaptive,0.03150575985386937,0.0006227489191617717,0.038405140514365124,0.00015167629649388888,31.50575985386937
E3_progressive,0.75,fixed_isolation,0.031486686069133275,0.0006212163610469243,0.0380464075303774,1.6688083039901205e-06,31.486686069133274
E3_progressive,0.75,lit_blacklist,0.03170555821872534,0.0005788814823861389,0.038566982581675596,6.33444681260432e-05,31.705558218725336
E3_progressive,0.75,no_mitigation,0.22087448612570934,0.003037865995980685,0.3582689955915951,0.02512576119672961,220.87448612570935
E3_progressive,0.8,adaptive,0.18089470839288707,0.0818263386051561,0.3536467053767116,0.01681693360661529,180.89470839288708
E3_progressive,0.8,fixed_isolation,0.11126382779985369,0.08293313849767973,0.2568384450363432,0.011316698733837977,111.26382779985369
E3_progressive,0.8,lit_blacklist,0.03761559454642856,0.0004975187992763633,0.04481133427279006,0.00020144858290336594,37.61559454642856
E3_progressive,0.8,no_mitigation,0.241287982809528,0.004805342995372327,0.3953111853817969,0.024895138036561532,241.28798280952802
E3_progressive,0.85,adaptive,0.28028590307458046,0.008963274194002972,0.4788820141839527,0.024430411111991412,280.28590307458046
E3_progressive,0.85,fixed_isolation,0.27135176555575435,0.014105097358684622,0.47777821933383907,0.024571631042308296,271.35176555575435
E3_progressive,0.85,lit_blacklist,0.052735156895582794,0.0029621949369828034,0.061352371291445176,0.016017014064974886,52.7351568955828
E3_progressive,0.85,no_mitigation,0.28348214120608184,0.007717955777638922,0.4791027880954279,0.02964128062704168,283.48214120608185
