baseline,metric,mean,ci_95,min,max,n
adaptive,p99_latency,0.0304984020685857,0.00028118273045169316,0.029989787802606215,0.031174903808780654,10
adaptive,p999_latency,0.0420627846230508,0.009984371761318986,0.03727630383550064,0.08178157000001046,10
adaptive,p95_latency,0.027171594311354113,5.081319004564903e-05,0.027063170744219888,0.02725895084997525,10
adaptive,p50_latency,0.015626089590672264,3.507802700983329e-05,0.015560935639392426,0.015712752752673254,10
adaptive,avg_latency,0.016104683335250215,3.328315187961111e-05,0.016036632072576006,0.016166932844472893,10
adaptive,max_latency,0.07411960220362061,0.05624955963258583,0.04615161111588861,0.29761427144653396,10
adaptive,tail_ratio,1.9517651490737458,0.017714548248121725,1.9239773844331378,2.003408055352504,10
adaptive,throughput,2559.3590909090913,2.2455616654223403,2554.2454545454543,2565.7272727272725,10
adaptive,goodput,2558.930909090909,2.532882191335535,2554.172727272727,2565.7272727272725,10
adaptive,slo_violation_rate,0.0001673599740389091,0.00037681363089831995,0.0,0.0016665008456869964,10
adaptive,affected_ratio,0.005198436726980957,0.0004963561944612713,0.0045893736980185,0.00710306010773626,10
fixed_isolation,p99_latency,0.03046525927778145,0.00024138820190896761,0.030032971689050142,0.031032841775772365,10
fixed_isolation,p999_latency,0.037625675900991806,0.00014141172696508107,0.037296499211728146,0.0379181283086849,10
fixed_isolation,p95_latency,0.027175286419120693,5.3405033388667015e-05,0.027062933955944137,0.027268485449449112,10
fixed_isolation,p50_latency,0.01563633266486928,3.331778039232029e-05,0.015569113602090567,0.015720211543799323,10
fixed_isolation,avg_latency,0.016100125466599814,3.139555584654253e-05,0.01603302428186692,0.01617446777137662,10
fixed_isolation,max_latency,0.04789261280288208,0.0011309395661579676,0.045492406881550096,0.050734314899489874,10
fixed_isolation,tail_ratio,1.9483353551708344,0.01260601148145435,1.9275246704812048,1.9810539648151761,10
fixed_isolation,throughput,2559.940909090909,2.4000785901122588,2554.6181818181817,2566.490909090909,10
fixed_isolation,goodput,2559.94,2.398668384406272,2554.6181818181817,2566.481818181818,10
fixed_isolation,slo_violation_rate,3.5421551889031363e-07,8.012911732320058e-07,0.0,3.5421551889031364e-06,10
